station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
EHVL,2020-05-23 00:25,55.40,50.00,81.99,240.00,17.00,0.00,30.00,M,5.59,M,OVC,M,M,M,16000.00,M,M,M,BR,M,M,M,M,M,M,M,EHVL 230025Z AUTO 24017KT 9000 BR OVC160 13/10 Q1016 BLU
EHWO,2020-05-23 00:25,57.20,41.00,54.60,240.00,12.00,0.00,30.12,M,6.21,M,SCT,BKN,OVC,M,9200.00,9800.00,10000.00,M,M,M,M,M,M,M,M,M,EHWO 230025Z AUTO 24012KT 200V270 9999 SCT092 BKN098 OVC100 14/05 Q1020 BLU
EHQE,2020-05-23 00:25,55.40,51.80,87.65,220.00,17.00,0.00,30.00,M,5.59,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHQE 230025Z AUTO 22017KT 9000 NSC 13/11 Q1016
EHJR,2020-05-23 00:25,55.40,44.60,66.91,250.00,26.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHJR 230025Z AUTO 25026KT //// // ///////// 13/07 Q1016 RE// W11/H15
EHKV,2020-05-23 00:25,57.20,44.60,62.69,250.00,29.00,0.00,30.03,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHKV 230025Z AUTO 25029KT 9999 NSC 14/07 Q1017
EHMA,2020-05-23 00:25,59.00,53.60,82.25,230.00,16.00,0.00,30.03,M,5.59,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHMA 230025Z AUTO 23016KT 9000 NSC 15/12 Q1017
EHMG,2020-05-23 00:25,57.20,48.20,71.83,230.00,18.00,0.00,30.00,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHMG 230025Z AUTO 23018KT 9999 NSC 14/09 Q1016
EHPG,2020-05-23 00:25,55.40,51.80,87.65,240.00,23.00,0.00,30.03,M,4.97,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHPG 230025Z AUTO 24023KT 8000 NSC 13/11 Q1017
EHSA,2020-05-23 00:25,55.40,51.80,87.65,220.00,25.00,0.00,30.09,M,5.59,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHSA 230025Z AUTO 22025KT 9000 ///////// 13/11 Q1019 W10/H20
EHSC,2020-05-23 00:25,55.40,51.80,87.65,240.00,26.00,0.00,30.06,M,4.35,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHSC 230025Z AUTO 24026KT 7000 ///////// 13/11 Q1018 W13/H18
EHHW,2020-05-23 00:25,55.40,50.00,81.99,240.00,10.00,0.00,30.00,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHHW 230025Z AUTO 24010KT 210V300 9999 NSC 13/10 Q1016
EHFS,2020-05-23 00:55,57.20,46.40,67.12,230.00,21.00,0.00,30.09,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFS 230055Z AUTO 23021KT 9999 NSC 14/08 Q1019
EHRD,2020-05-23 00:55,57.20,48.20,71.83,240.00,16.00,0.00,30.09,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHRD 230055Z AUTO 24016KT 210V270 9999 NSC 14/09 Q1019 NOSIG
EHEH,2020-05-23 00:55,57.20,35.60,44.19,230.00,7.00,0.00,30.12,M,6.21,M,OVC,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,EHEH 230055Z AUTO 23007KT 200V260 9999 OVC100 14/02 Q1020 BLU
EHBK,2020-05-23 00:55,55.40,42.80,62.46,220.00,9.00,0.00,30.15,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHBK 230055Z AUTO 22009KT 9999 NSC 13/06 Q1021
EHDL,2020-05-23 00:55,59.00,37.40,44.47,240.00,9.00,0.00,30.09,M,6.21,M,BKN,OVC,M,M,9800.00,10000.00,M,M,M,M,M,M,M,M,M,M,EHDL 230055Z AUTO 24009KT 200V300 9999 BKN098 OVC100 15/03 Q1019 BLU
EHGG,2020-05-23 00:55,55.40,48.20,76.66,230.00,8.00,0.00,30.03,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHGG 230055Z AUTO 23008KT 9999 NSC 13/09 Q1017
EHGR,2020-05-23 00:55,59.00,39.20,47.72,250.00,10.00,0.00,30.12,M,6.21,M,SCT,BKN,OVC,M,8900.00,9500.00,10000.00,M,M,M,M,M,M,M,M,M,EHGR 230055Z AUTO 25010KT 220V290 9999 SCT089 BKN095 OVC100 15/04 Q1020 BLU 10004KT CAVOK
EHKD,2020-05-23 00:55,55.40,51.80,87.65,230.00,10.00,0.00,30.03,M,4.97,M,BKN,OVC,M,M,6600.00,7200.00,M,M,BR,M,M,M,M,M,M,M,EHKD 230055Z AUTO 23010KT 200V260 8000 BR BKN066 OVC072 13/11 Q1017 BLU
EHLE,2020-05-23 00:55,57.20,46.40,67.12,230.00,10.00,0.00,30.06,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHLE 230055Z AUTO 23010KT 210V270 9999 NSC 14/08 Q1018
EHLW,2020-05-23 00:55,55.40,51.80,87.65,220.00,6.00,0.00,30.03,M,4.97,M,BKN,BKN,M,M,7000.00,18000.00,M,M,BR,M,M,M,M,M,M,M,EHLW 230055Z AUTO 22006KT 8000 BR BKN070 BKN180 13/11 Q1017 BLU
EHAM,2020-05-23 00:55,57.20,50.00,76.82,240.00,14.00,0.00,30.06,M,6.21,M,FEW,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,M,EHAM 230055Z 24014KT 9999 FEW018 14/10 Q1018 NOSIG
EHAK,2020-05-23 00:55,55.40,46.40,71.64,240.00,25.00,0.00,29.85,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHAK 230055Z AUTO 24025KT 9999 NCD 13/08 Q1011
EHDV,2020-05-23 00:55,55.40,46.40,71.64,240.00,22.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHDV 230055Z AUTO 24022KT //// // ///////// 13/08 Q1013 RE//
EHFD,2020-05-23 00:55,55.40,46.40,71.64,0.00,0.00,0.00,29.91,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFD 230055Z AUTO 00000KT 9999 NSC 13/08 Q1013
EHFZ,2020-05-23 00:55,55.40,46.40,71.64,230.00,25.00,0.00,29.94,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFZ 230055Z AUTO 23025KT 9999 NSC 13/08 Q1014
EHJA,2020-05-23 00:55,55.40,46.40,71.64,220.00,30.00,0.00,29.94,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHJA 230055Z AUTO 22030KT 9999 NSC 13/08 Q1014
EHVK,2020-05-23 00:55,57.20,35.60,44.19,240.00,8.00,0.00,30.09,M,6.21,M,OVC,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,EHVK 230055Z AUTO 24008KT 9999 OVC100 14/02 Q1019 BLU
EHVL,2020-05-23 00:55,55.40,48.20,76.66,230.00,15.00,0.00,30.00,M,6.21,M,BKN,OVC,M,M,6400.00,17000.00,M,M,M,M,M,M,M,M,M,M,EHVL 230055Z AUTO 23015KT 9999 BKN064 OVC170 13/09 Q1016 BLU
EHWO,2020-05-23 00:55,57.20,41.00,54.60,240.00,12.00,0.00,30.12,M,6.21,M,FEW,OVC,M,M,9700.00,10000.00,M,M,M,M,M,M,M,M,M,M,EHWO 230055Z AUTO 24012KT 200V280 9999 FEW097 OVC100 14/05 Q1020 BLU
EHQE,2020-05-23 00:55,55.40,50.00,81.99,210.00,16.00,0.00,30.03,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHQE 230055Z AUTO 21016KT 9999 NSC 13/10 Q1017
EHJR,2020-05-23 00:55,55.40,44.60,66.91,250.00,26.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHJR 230055Z AUTO 25026KT //// // ///////// 13/07 Q1016 RE// W11/H15
EHKV,2020-05-23 00:55,57.20,44.60,62.69,250.00,30.00,0.00,30.03,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHKV 230055Z AUTO 25030KT 9999 NSC 14/07 Q1017
EHMA,2020-05-23 00:55,59.00,53.60,82.25,230.00,15.00,0.00,30.03,M,5.59,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHMA 230055Z AUTO 23015KT 9000 NSC 15/12 Q1017
EHMG,2020-05-23 00:55,57.20,46.40,67.12,240.00,17.00,0.00,30.00,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHMG 230055Z AUTO 24017KT 9999 NSC 14/08 Q1016
EHPG,2020-05-23 00:55,55.40,51.80,87.65,250.00,23.00,0.00,30.03,M,4.97,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHPG 230055Z AUTO 25023KT 8000 NSC 13/11 Q1017
EHSA,2020-05-23 00:55,55.40,51.80,87.65,220.00,23.00,0.00,30.09,M,5.59,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHSA 230055Z AUTO 22023KT 9000 ///////// 13/11 Q1019 W10/H18
EHSC,2020-05-23 00:55,55.40,51.80,87.65,240.00,26.00,0.00,30.06,M,4.35,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHSC 230055Z AUTO 24026KT 7000 ///////// 13/11 Q1018 W13/H18
EHHW,2020-05-23 00:55,55.40,50.00,81.99,240.00,11.00,0.00,30.00,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHHW 230055Z AUTO 24011KT 210V270 9999 NSC 13/10 Q1016
EHFS,2020-05-23 01:25,57.20,46.40,67.12,240.00,20.00,0.00,30.09,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFS 230125Z AUTO 24020KT 9999 NSC 14/08 Q1019
EHRD,2020-05-23 01:25,57.20,50.00,76.82,240.00,13.00,0.00,30.09,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHRD 230125Z AUTO 24013KT 220V280 9999 NSC 14/10 Q1019 NOSIG
EHEH,2020-05-23 01:25,57.20,37.40,47.44,230.00,7.00,0.00,30.12,M,6.21,M,OVC,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,EHEH 230125Z AUTO 23007KT 210V270 9999 OVC100 14/03 Q1020 BLU
EHBK,2020-05-23 01:25,55.40,42.80,62.46,220.00,9.00,0.00,30.15,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHBK 230125Z AUTO 22009KT 9999 NSC 13/06 Q1021
EHDL,2020-05-23 01:25,57.20,39.20,50.91,230.00,10.00,0.00,30.09,M,6.21,M,OVC,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,EHDL 230125Z AUTO 23010KT 170V270 9999 OVC100 14/04 Q1019 BLU
EHGG,2020-05-23 01:25,55.40,48.20,76.66,240.00,8.00,0.00,30.03,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHGG 230125Z AUTO 24008KT 210V270 9999 NSC 13/09 Q1017
EHGR,2020-05-23 01:25,57.20,39.20,50.91,250.00,9.00,0.00,30.12,M,6.21,M,OVC,M,M,M,9800.00,M,M,M,M,M,M,M,M,M,M,M,EHGR 230125Z AUTO 25009KT 220V290 9999 OVC098 14/04 Q1020 BLU 10004KT CAVOK
EHKD,2020-05-23 01:25,55.40,51.80,87.65,230.00,9.00,0.00,30.03,M,4.97,M,BKN,OVC,M,M,6000.00,6800.00,M,M,BR,M,M,M,M,M,M,M,EHKD 230125Z AUTO 23009KT 200V260 8000 BR BKN060 OVC068 13/11 Q1017 BLU
EHLE,2020-05-23 01:25,57.20,48.20,71.83,230.00,11.00,0.00,30.06,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHLE 230125Z AUTO 23011KT 9999 NSC 14/09 Q1018
EHLW,2020-05-23 01:25,55.40,51.80,87.65,220.00,6.00,0.00,30.03,M,4.97,M,OVC,M,M,M,6900.00,M,M,M,BR,M,M,M,M,M,M,M,EHLW 230125Z AUTO 22006KT 8000 BR OVC069 13/11 Q1017 BLU
EHAM,2020-05-23 01:25,57.20,50.00,76.82,240.00,14.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHAM 230125Z 24014KT CAVOK 14/10 Q1018 NOSIG
EHAK,2020-05-23 01:25,55.40,46.40,71.64,240.00,25.00,0.00,29.85,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHAK 230125Z AUTO 24025KT 9999 NCD 13/08 Q1011
EHDV,2020-05-23 01:25,53.60,46.40,76.50,240.00,23.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHDV 230125Z AUTO 24023KT //// // ///////// 12/08 Q1013 RE//
EHFD,2020-05-23 01:25,55.40,46.40,71.64,0.00,0.00,0.00,29.91,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFD 230125Z AUTO 00000KT 9999 NSC 13/08 Q1013
EHFZ,2020-05-23 01:25,55.40,46.40,71.64,230.00,24.00,0.00,29.94,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFZ 230125Z AUTO 23024KT 9999 NSC 13/08 Q1014
EHJA,2020-05-23 01:25,55.40,44.60,66.91,230.00,32.00,0.00,29.94,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHJA 230125Z AUTO 23032KT 9999 NSC 13/07 Q1014
EHVK,2020-05-23 01:25,57.20,37.40,47.44,240.00,9.00,0.00,30.09,M,6.21,M,OVC,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,EHVK 230125Z AUTO 24009KT 210V280 9999 OVC100 14/03 Q1019 BLU
EHVL,2020-05-23 01:25,55.40,48.20,76.66,230.00,16.00,0.00,30.00,M,6.21,M,BKN,OVC,M,M,7000.00,17000.00,M,M,M,M,M,M,M,M,M,M,EHVL 230125Z AUTO 23016KT 9999 BKN070 OVC170 13/09 Q1016 BLU
EHWO,2020-05-23 01:25,57.20,42.80,58.52,240.00,13.00,0.00,30.12,M,6.21,M,FEW,SCT,BKN,M,7200.00,8300.00,9000.00,M,M,M,M,M,M,M,M,M,EHWO 230125Z AUTO 24013KT 9999 FEW072 SCT083 BKN090 14/06 Q1020 BLU
EHQE,2020-05-23 01:25,57.20,46.40,67.12,210.00,18.00,0.00,30.03,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHQE 230125Z AUTO 21018KT 9999 NSC 14/08 Q1017
EHJR,2020-05-23 01:25,55.40,44.60,66.91,250.00,28.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHJR 230125Z AUTO 25028KT //// // ///////// 13/07 Q1016 RE// W11/H17
EHKV,2020-05-23 01:25,55.40,44.60,66.91,250.00,32.00,0.00,30.03,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHKV 230125Z AUTO 25032KT 9999 NSC 13/07 Q1017
EHMA,2020-05-23 01:25,59.00,48.20,67.33,250.00,16.00,0.00,30.00,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHMA 230125Z AUTO 25016KT 9999 NSC 15/09 Q1016
EHMG,2020-05-23 01:25,55.40,46.40,71.64,250.00,15.00,0.00,30.00,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHMG 230125Z AUTO 25015KT 9999 NSC 13/08 Q1016
EHPG,2020-05-23 01:25,55.40,51.80,87.65,250.00,23.00,0.00,30.03,M,4.97,M,NSC,M,M,M,M,M,M,M,-RA,M,M,M,M,M,M,M,EHPG 230125Z AUTO 25023KT 8000 -RA NSC 13/11 Q1017
EHSA,2020-05-23 01:25,55.40,51.80,87.65,220.00,22.00,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHSA 230125Z AUTO 22022KT 9999 ///////// 13/11 Q1019 W10/H18
EHSC,2020-05-23 01:25,55.40,51.80,87.65,240.00,24.00,0.00,30.06,M,4.35,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHSC 230125Z AUTO 24024KT 7000 ///////// 13/11 Q1018 W12/H16
EHHW,2020-05-23 01:25,55.40,50.00,81.99,240.00,9.00,0.00,29.97,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHHW 230125Z AUTO 24009KT 200V310 9999 NSC 13/10 Q1015
EHFS,2020-05-23 01:55,57.20,46.40,67.12,240.00,20.00,0.00,30.09,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFS 230155Z AUTO 24020KT 9999 NSC 14/08 Q1019
EHRD,2020-05-23 01:55,57.20,50.00,76.82,240.00,14.00,0.00,30.09,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHRD 230155Z AUTO 24014KT 210V290 9999 NSC 14/10 Q1019 NOSIG
EHEH,2020-05-23 01:55,57.20,37.40,47.44,230.00,8.00,0.00,30.12,M,6.21,M,OVC,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,EHEH 230155Z AUTO 23008KT 190V260 9999 OVC100 14/03 Q1020 BLU
EHBK,2020-05-23 01:55,55.40,42.80,62.46,220.00,9.00,0.00,30.15,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHBK 230155Z AUTO 22009KT 9999 NSC 13/06 Q1021
EHDL,2020-05-23 01:55,57.20,39.20,50.91,230.00,10.00,0.00,30.09,M,6.21,M,OVC,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,EHDL 230155Z AUTO 23010KT 180V290 9999 OVC100 14/04 Q1019 BLU
EHGG,2020-05-23 01:55,55.40,50.00,81.99,240.00,7.00,0.00,30.03,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHGG 230155Z AUTO 24007KT 9999 NSC 13/10 Q1017
EHGR,2020-05-23 01:55,57.20,41.00,54.60,240.00,7.00,0.00,30.12,M,6.21,M,FEW,BKN,BKN,M,8500.00,9100.00,9700.00,M,M,M,M,M,M,M,M,M,EHGR 230155Z AUTO 24007KT 210V280 9999 FEW085 BKN091 BKN097 14/05 Q1020 BLU 10004KT CAVOK
EHKD,2020-05-23 01:55,55.40,51.80,87.65,220.00,8.00,0.00,30.03,M,4.97,M,BKN,OVC,M,M,5700.00,6200.00,M,M,BR,M,M,M,M,M,M,M,EHKD 230155Z AUTO 22008KT 8000 BR BKN057 OVC062 13/11 Q1017 BLU
EHLE,2020-05-23 01:55,57.20,48.20,71.83,240.00,9.00,0.00,30.06,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHLE 230155Z AUTO 24009KT 9999 NSC 14/09 Q1018
EHLW,2020-05-23 01:55,55.40,51.80,87.65,220.00,7.00,0.00,30.03,M,4.97,M,FEW,SCT,BKN,M,6700.00,7300.00,7900.00,M,BR,M,M,M,M,M,M,M,EHLW 230155Z AUTO 22007KT 8000 BR FEW067 SCT073 BKN079 13/11 Q1017 BLU
EHAM,2020-05-23 01:55,57.20,50.00,76.82,240.00,14.00,0.00,30.06,M,5.59,M,FEW,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,M,EHAM 230155Z 24014KT 210V270 9000 FEW018 14/10 Q1018 NOSIG
EHAK,2020-05-23 01:55,55.40,46.40,71.64,240.00,28.00,0.00,29.85,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHAK 230155Z AUTO 24028KT 9999 NCD 13/08 Q1011
EHDV,2020-05-23 01:55,53.60,46.40,76.50,230.00,23.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHDV 230155Z AUTO 23023KT //// // ///////// 12/08 Q1013 RE//
EHFD,2020-05-23 01:55,53.60,46.40,76.50,0.00,0.00,0.00,29.91,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFD 230155Z AUTO 00000KT 9999 NSC 12/08 Q1013
EHFZ,2020-05-23 01:55,55.40,46.40,71.64,230.00,25.00,0.00,29.94,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFZ 230155Z AUTO 23025KT 9999 NSC 13/08 Q1014
EHJA,2020-05-23 01:55,55.40,46.40,71.64,220.00,32.00,0.00,29.94,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHJA 230155Z AUTO 22032KT 9999 NSC 13/08 Q1014
EHVK,2020-05-23 01:55,55.40,37.40,50.64,230.00,8.00,0.00,30.09,M,6.21,M,OVC,M,M,M,9400.00,M,M,M,M,M,M,M,M,M,M,M,EHVK 230155Z AUTO 23008KT 200V260 9999 OVC094 13/03 Q1019 BLU
EHVL,2020-05-23 01:55,57.20,46.40,67.12,240.00,16.00,0.00,30.00,M,6.21,M,BKN,OVC,M,M,6200.00,6800.00,M,M,M,M,M,M,M,M,M,M,EHVL 230155Z AUTO 24016KT 9999 BKN062 OVC068 14/08 Q1016 BLU
EHWO,2020-05-23 01:55,57.20,42.80,58.52,240.00,11.00,0.00,30.12,M,6.21,M,FEW,SCT,BKN,M,5900.00,7900.00,8500.00,M,M,M,M,M,M,M,M,M,EHWO 230155Z AUTO 24011KT 9999 FEW059 SCT079 BKN085 14/06 Q1020 BLU
EHQE,2020-05-23 01:55,57.20,46.40,67.12,210.00,21.00,0.00,30.03,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHQE 230155Z AUTO 21021KT 9999 NSC 14/08 Q1017
EHJR,2020-05-23 01:55,55.40,44.60,66.91,250.00,27.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHJR 230155Z AUTO 25027KT //// // ///////// 13/07 Q1016 RE// W11/H16
